Date,Open,High,Low,Close,Adj Close,Volume
01-10-2019,179.149994,179.839996,174.880005,175.809998,175.809998,17073000
02-10-2019,174.839996,176.529999,173.089996,174.600006,174.600006,16151700
03-10-2019,175.570007,179.839996,173.630005,179.380005,179.380005,16086300
04-10-2019,179.550003,180.979996,178.100006,180.449997,180.449997,10430200
07-10-2019,180,181.179993,178.089996,179.679993,179.679993,9178300
08-10-2019,178.259995,180.369995,177.720001,177.75,177.75,9466900
09-10-2019,179.160004,180.720001,177.940002,179.850006,179.850006,7556900
10-10-2019,180.320007,181.610001,179.169998,180.029999,180.029999,8605000
11-10-2019,182.149994,186.490005,182.139999,184.190002,184.190002,14930500
14-10-2019,184.199997,184.619995,182.570007,183.279999,183.279999,7006000
15-10-2019,183.800003,190.380005,183.660004,188.889999,188.889999,15039100
16-10-2019,188.320007,189.699997,186.899994,189.550003,189.550003,10516900
17-10-2019,190.300003,190.839996,188.770004,190.389999,190.389999,9603000
18-10-2019,190.229996,191.490005,183.919998,185.850006,185.850006,16874200
21-10-2019,187.039993,189.910004,186.75,189.759995,189.759995,8122600
22-10-2019,190,190.649994,181.5,182.339996,182.339996,19537600
23-10-2019,182.009995,186.380005,182,186.149994,186.149994,12300400
24-10-2019,184.619995,186.729996,182.800003,186.380005,186.380005,11413500
25-10-2019,185.830002,189,185.089996,187.889999,187.889999,8047400
28-10-2019,187.199997,189.529999,185.080002,189.399994,189.399994,13657900
29-10-2019,191.690002,192.529999,188.470001,189.309998,189.309998,13556200
30-10-2019,189.559998,190.449997,185.979996,188.25,188.25,28389200
31-10-2019,196.699997,198.089996,188.25,191.649994,191.649994,4224700000
01-11-2019,192.850006,194.110001,189.910004,193.619995,193.619995,21694500
